strategy,universe,universe_key,variation,variation_rationale,survivorship_free,total_return,annual_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,num_trades,profit_factor,correlation,stop_loss,trailing_stop,take_profit,time_stop,vol_scaling,inv_vol,alpha
Alpha033 Gap Reversal,Liquid 500,liquid_500,Risk Parity,Sharpe is 0.44; vol scaling may improve risk-adjusted returns,False,978.3643547130795,0.9824735341005972,1.0420717180980188,0.19246865056789464,-0.48761553009588016,0.47979459700826077,4479,1.507276744660296,0.19234124514733328,,,,,True,True,Alpha033 Gap Reversal
Alpha033 Gap Reversal,Liquid 500,liquid_500,Time Stop (10d),Failed reversions tie up capital; time stops free it,False,1604.7557814972297,1.0823102586686204,1.1187946271361298,0.19423083552907078,-0.6529975272334408,0.4794611307420495,4528,1.5100248529432971,0.18969095419665205,,,,10.0,False,False,Alpha033 Gap Reversal
Alpha042 VWAP Ratio,S&P 500 Survivorship-Free (200),sp500_sf_200,Base,Baseline for comparison,True,55118686.028047815,4.878219324240028,0.6340757467688128,1.0563340485325936,-0.8266915963562887,0.5989637305699482,965,5.282631383515851,-0.0014785882411936983,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,S&P 500 Survivorship-Free (200),sp500_sf_200,Drawdown Control,Base strategy had -79% drawdown; add protection,True,55118686.028047815,4.878219324240028,0.6340757467688128,1.0563340485325938,-0.8266915963562885,0.5989637305699482,965,5.282631383515851,-0.0014785882411936944,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,S&P 500 Survivorship-Free (200),sp500_sf_200,Reduced Max Position,Fixed-period strategies can't use stops; reduce position risk instead,True,55118686.028047815,4.878219324240028,0.6340757467688128,1.0563340485325938,-0.8266915963562885,0.5989637305699482,965,5.282631383515851,-0.0014785882411936944,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,S&P 500 Survivorship-Free (200),sp500_sf_200,Conservative Stop,Generic risk management,True,55118686.028047815,4.878219324240028,0.6340757467688128,1.0563340485325938,-0.8266915963562885,0.5989637305699482,965,5.282631383515851,-0.0014785882411936944,0.1,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,S&P 500 Survivorship-Free (200),sp500_sf_200,Vol Scaling,Equalizes risk across positions,True,11153130.280533252,4.015259096279277,0.5858596114152209,1.0715583287307087,-0.7812855819435244,0.5989637305699482,965,5.282631383515851,-0.00517954862855981,,,,,True,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,S&P 500 Survivorship-Free (200),sp500_sf_200,Tighter Entry Filter,Short-term trades need high conviction; filter weak signals,True,55118686.028047815,4.878219324240028,0.6340757467688128,1.0563340485325936,-0.8266915963562887,0.5989637305699482,965,5.282631383515851,-0.0014785882411936983,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,Liquid 500,liquid_500,Base,Baseline for comparison,False,7944668756.14996,8.632998105052494,1.4665478878253402,0.8484642321083169,-0.5023213470698548,0.6625514403292181,729,11.456915628210078,0.08314960876049433,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,Liquid 500,liquid_500,Drawdown Control,Base strategy had -79% drawdown; add protection,False,7944668756.149982,8.632998105052497,1.4665478878253402,0.8484642321083168,-0.5023213470698549,0.6625514403292181,729,11.456915628210078,0.08314960876049435,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,Liquid 500,liquid_500,Reduced Max Position,Fixed-period strategies can't use stops; reduce position risk instead,False,7944668756.149982,8.632998105052497,1.4665478878253402,0.8484642321083168,-0.5023213470698549,0.6625514403292181,729,11.456915628210078,0.08314960876049435,,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,Liquid 500,liquid_500,Conservative Stop,Generic risk management,False,7944668756.149982,8.632998105052497,1.4665478878253402,0.8484642321083168,-0.5023213470698549,0.6625514403292181,729,11.456915628210078,0.08314960876049435,0.1,,,,False,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,Liquid 500,liquid_500,Vol Scaling,Equalizes risk across positions,False,190202148.22924688,5.648107941808378,1.1502570690707512,0.7811457987090024,-0.4702488091718593,0.6625514403292181,729,11.456915628210078,0.07437920026755179,,,,,True,False,Alpha042 VWAP Ratio
Alpha042 VWAP Ratio,Liquid 500,liquid_500,Tighter Entry Filter,Short-term trades need high conviction; filter weak signals,False,7944668756.14996,8.632998105052494,1.4665478878253402,0.8484642321083169,-0.5023213470698548,0.6625514403292181,729,11.456915628210078,0.08314960876049433,,,,,False,False,Alpha042 VWAP Ratio
Alpha053 Williams R,S&P 500 Survivorship-Free (200),sp500_sf_200,Base,Baseline for comparison,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,False,False,Alpha053 Williams R
Alpha053 Williams R,S&P 500 Survivorship-Free (200),sp500_sf_200,Inverse Volatility Weighting,Equalizes risk contribution; high-momentum stocks are often volatile,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,False,True,Alpha053 Williams R
Alpha053 Williams R,S&P 500 Survivorship-Free (200),sp500_sf_200,Trailing Stop (Wide),Momentum winners can run far; wide trailing stop captures more upside,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.15,,,False,False,Alpha053 Williams R
Alpha053 Williams R,S&P 500 Survivorship-Free (200),sp500_sf_200,Let Winners Run,Win rate is 0%; need big winners to compensate,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.12,,,False,False,Alpha053 Williams R
Alpha053 Williams R,S&P 500 Survivorship-Free (200),sp500_sf_200,Trailing Stop (Tight),Tighter stop locks in gains faster but may exit winners early,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.08,,,False,False,Alpha053 Williams R
Alpha053 Williams R,S&P 500 Survivorship-Free (200),sp500_sf_200,Reduced Max Position,Fixed-period strategies can't use stops; reduce position risk instead,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,False,False,Alpha053 Williams R
Alpha053 Williams R,Liquid 500,liquid_500,Base,Baseline for comparison,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,False,False,Alpha053 Williams R
Alpha053 Williams R,Liquid 500,liquid_500,Inverse Volatility Weighting,Equalizes risk contribution; high-momentum stocks are often volatile,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,False,True,Alpha053 Williams R
Alpha053 Williams R,Liquid 500,liquid_500,Trailing Stop (Wide),Momentum winners can run far; wide trailing stop captures more upside,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.15,,,False,False,Alpha053 Williams R
Alpha053 Williams R,Liquid 500,liquid_500,Let Winners Run,Win rate is 0%; need big winners to compensate,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.12,,,False,False,Alpha053 Williams R
Alpha053 Williams R,Liquid 500,liquid_500,Trailing Stop (Tight),Tighter stop locks in gains faster but may exit winners early,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,0.08,,,False,False,Alpha053 Williams R
Alpha053 Williams R,Liquid 500,liquid_500,Reduced Max Position,Fixed-period strategies can't use stops; reduce position risk instead,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,False,False,Alpha053 Williams R
